"density","qcloud","qrain","qvapor","theta","velocity:0","velocity:1","velocity:2","Points:0","Points:1","Points:2"
0,0,0,0,0,0,0,0,67112,6000,0
0,0,0,0,0,0,0,0,67362,6000,0
0,0,0,0,0,0,0,0,67613,6000,0
0,0,0,0,0,0,0,0,67863,6000,0
0,0,0,0,0,0,0,0,68114,6000,0
0,0,0,0,0,0,0,0,68364,6000,0
0,0,0,0,0,0,0,0,68614,6000,0
0,0,0,0,0,0,0,0,68865,6000,0
0,0,0,0,0,0,0,0,69115,6000,0
0,0,0,0,0,0,0,0,69366,6000,0
0,0,0,0,0,0,0,0,69616,6000,0
0,0,0,0,0,0,0,0,69866,6000,0
0,0,0,0,0,0,0,0,70117,6000,0
0,0,0,0,0,0,0,0,70367,6000,0
0,0,0,0,0,0,0,0,70618,6000,0
0,0,0,0,0,0,0,0,70868,6000,0
0,0,0,0,0,0,0,0,71119,6000,0
0,0,0,0,0,0,0,0,71369,6000,0
0,0,0,0,0,0,0,0,71619,6000,0
0,0,0,0,0,0,0,0,71870,6000,0
0,0,0,0,0,0,0,0,72120,6000,0
0,0,0,0,0,0,0,0,72371,6000,0
0,0,0,0,0,0,0,0,72621,6000,0
0,0,0,0,0,0,0,0,72871,6000,0
0,0,0,0,0,0,0,0,73122,6000,0
0,0,0,0,0,0,0,0,73372,6000,0
0,0,0,0,0,0,0,0,73623,6000,0
0,0,0,0,0,0,0,0,73873,6000,0
0,0,0,0,0,0,0,0,74124,6000,0
0,0,0,0,0,0,0,0,74374,6000,0
0,0,0,0,0,0,0,0,74624,6000,0
0,0,0,0,0,0,0,0,74875,6000,0
0,0,0,0,0,0,0,0,75125,6000,0
0,0,0,0,0,0,0,0,75376,6000,0
0,0,0,0,0,0,0,0,75626,6000,0
0,0,0,0,0,0,0,0,75876,6000,0
0,0,0,0,0,0,0,0,76127,6000,0
0,0,0,0,0,0,0,0,76377,6000,0
0,0,0,0,0,0,0,0,76628,6000,0
0,0,0,0,0,0,0,0,76878,6000,0
0,0,0,0,0,0,0,0,77129,6000,0
0,0,0,0,0,0,0,0,77379,6000,0
0,0,0,0,0,0,0,0,77629,6000,0
0,0,0,0,0,0,0,0,77880,6000,0
0,0,0,0,0,0,0,0,78130,6000,0
0,0,0,0,0,0,0,0,78381,6000,0
0,0,0,0,0,0,0,0,78631,6000,0
0,0,0,0,0,0,0,0,78881,6000,0
0,0,0,0,0,0,0,0,79132,6000,0
0,0,0,0,0,0,0,0,79382,6000,0
0,0,0,0,0,0,0,0,79633,6000,0
0,0,0,0,0,0,0,0,79883,6000,0
0,0,0,0,0,0,0,0,80134,6000,0
0,0,0,0,0,0,0,0,80384,6000,0
0,0,0,0,0,0,0,0,80634,6000,0
0,0,0,0,0,0,0,0,80885,6000,0
0,0,0,0,0,0,0,0,81135,6000,0
0,0,0,0,0,0,0,0,81386,6000,0
0,0,0,0,0,0,0,0,81636,6000,0
0,0,0,0,0,0,0,0,81886,6000,0
0,0,0,0,0,0,0,0,82137,6000,0
0,0,0,0,0,0,0,0,82387,6000,0
0,0,0,0,0,0,0,0,82638,6000,0
0,0,0,0,0,0,0,0,82888,6000,0
0,0,0,0,0,0,0,0,83139,6000,0
0,0,0,0,0,0,0,0,83389,6000,0
0,0,0,0,0,0,0,0,83639,6000,0
0,0,0,0,0,0,0,0,83890,6000,0
0,0,0,0,0,0,0,0,84140,6000,0
0,0,0,0,0,0,0,0,84391,6000,0
0,0,0,0,0,0,0,0,84641,6000,0
0,0,0,0,0,0,0,0,84891,6000,0
0,0,0,0,0,0,0,0,85142,6000,0
0,0,0,0,0,0,0,0,85392,6000,0
0,0,0,0,0,0,0,0,85643,6000,0
0,0,0,0,0,0,0,0,85893,6000,0
0,0,0,0,0,0,0,0,86144,6000,0
0,0,0,0,0,0,0,0,86394,6000,0
0,0,0,0,0,0,0,0,86644,6000,0
0,0,0,0,0,0,0,0,86895,6000,0
0,0,0,0,0,0,0,0,87145,6000,0
0,0,0,0,0,0,0,0,87396,6000,0
0,0,0,0,0,0,0,0,87646,6000,0
0,0,0,0,0,0,0,0,87896,6000,0
0,0,0,0,0,0,0,0,88147,6000,0
0,0,0,0,0,0,0,0,88397,6000,0
0,0,0,0,0,0,0,0,88648,6000,0
0,0,0,0,0,0,0,0,88898,6000,0
0,0,0,0,0,0,0,0,89149,6000,0
0,0,0,0,0,0,0,0,89399,6000,0
0,0,0,0,0,0,0,0,89649,6000,0
0,0,0,0,0,0,0,0,89900,6000,0
0,0,0,0,0,0,0,0,90150,6000,0
0,0,0,0,0,0,0,0,90401,6000,0
0,0,0,0,0,0,0,0,90651,6000,0
0,0,0,0,0,0,0,0,90902,6000,0
0,0,0,0,0,0,0,0,91152,6000,0
0,0,0,0,0,0,0,0,91402,6000,0
0,0,0,0,0,0,0,0,91653,6000,0
0,0,0,0,0,0,0,0,91903,6000,0
0,0,0,0,0,0,0,0,92154,6000,0
0,0,0,0,0,0,0,0,92404,6000,0
0,0,0,0,0,0,0,0,92654,6000,0
0,0,0,0,0,0,0,0,92905,6000,0
0,0,0,0,0,0,0,0,93155,6000,0
