"density","qcloud","qrain","qvapor","theta","velocity:0","velocity:1","velocity:2","Points:0","Points:1","Points:2"
0,0,0,0,0,0,0,0,24288,6000,0
0,0,0,0,0,0,0,0,24538,6000,0
0,0,0,0,0,0,0,0,24789,6000,0
0,0,0,0,0,0,0,0,25039,6000,0
0,0,0,0,0,0,0,0,25290,6000,0
0,0,0,0,0,0,0,0,25540,6000,0
0,0,0,0,0,0,0,0,25790,6000,0
0,0,0,0,0,0,0,0,26041,6000,0
0,0,0,0,0,0,0,0,26291,6000,0
0,0,0,0,0,0,0,0,26541,6000,0
0,0,0,0,0,0,0,0,26792,6000,0
0,0,0,0,0,0,0,0,27042,6000,0
0,0,0,0,0,0,0,0,27293,6000,0
0,0,0,0,0,0,0,0,27543,6000,0
0,0,0,0,0,0,0,0,27793,6000,0
0,0,0,0,0,0,0,0,28044,6000,0
0,0,0,0,0,0,0,0,28294,6000,0
0,0,0,0,0,0,0,0,28545,6000,0
0,0,0,0,0,0,0,0,28795,6000,0
0,0,0,0,0,0,0,0,29045,6000,0
0,0,0,0,0,0,0,0,29296,6000,0
0,0,0,0,0,0,0,0,29546,6000,0
0,0,0,0,0,0,0,0,29797,6000,0
0,0,0,0,0,0,0,0,30047,6000,0
0,0,0,0,0,0,0,0,30297,6000,0
0,0,0,0,0,0,0,0,30548,6000,0
0,0,0,0,0,0,0,0,30798,6000,0
0,0,0,0,0,0,0,0,31049,6000,0
0,0,0,0,0,0,0,0,31299,6000,0
0,0,0,0,0,0,0,0,31549,6000,0
0,0,0,0,0,0,0,0,31800,6000,0
0,0,0,0,0,0,0,0,32050,6000,0
0,0,0,0,0,0,0,0,32300,6000,0
0,0,0,0,0,0,0,0,32551,6000,0
0,0,0,0,0,0,0,0,32801,6000,0
0,0,0,0,0,0,0,0,33052,6000,0
0,0,0,0,0,0,0,0,33302,6000,0
0,0,0,0,0,0,0,0,33552,6000,0
0,0,0,0,0,0,0,0,33803,6000,0
0,0,0,0,0,0,0,0,34053,6000,0
0,0,0,0,0,0,0,0,34304,6000,0
0,0,0,0,0,0,0,0,34554,6000,0
0,0,0,0,0,0,0,0,34804,6000,0
0,0,0,0,0,0,0,0,35055,6000,0
0,0,0,0,0,0,0,0,35305,6000,0
0,0,0,0,0,0,0,0,35556,6000,0
0,0,0,0,0,0,0,0,35806,6000,0
0,0,0,0,0,0,0,0,36056,6000,0
0,0,0,0,0,0,0,0,36307,6000,0
0,0,0,0,0,0,0,0,36557,6000,0
0,0,0,0,0,0,0,0,36808,6000,0
0,0,0,0,0,0,0,0,37058,6000,0
0,0,0,0,0,0,0,0,37308,6000,0
0,0,0,0,0,0,0,0,37559,6000,0
0,0,0,0,0,0,0,0,37809,6000,0
0,0,0,0,0,0,0,0,38059,6000,0
0,0,0,0,0,0,0,0,38310,6000,0
0,0,0,0,0,0,0,0,38560,6000,0
0,0,0,0,0,0,0,0,38811,6000,0
0,0,0,0,0,0,0,0,39061,6000,0
0,0,0,0,0,0,0,0,39311,6000,0
0,0,0,0,0,0,0,0,39562,6000,0
0,0,0,0,0,0,0,0,39812,6000,0
0,0,0,0,0,0,0,0,40063,6000,0
0,0,0,0,0,0,0,0,40313,6000,0
0,0,0,0,0,0,0,0,40563,6000,0
0,0,0,0,0,0,0,0,40814,6000,0
0,0,0,0,0,0,0,0,41064,6000,0
0,0,0,0,0,0,0,0,41315,6000,0
0,0,0,0,0,0,0,0,41565,6000,0
0,0,0,0,0,0,0,0,41815,6000,0
0,0,0,0,0,0,0,0,42066,6000,0
0,0,0,0,0,0,0,0,42316,6000,0
0,0,0,0,0,0,0,0,42567,6000,0
0,0,0,0,0,0,0,0,42817,6000,0
0,0,0,0,0,0,0,0,43067,6000,0
0,0,0,0,0,0,0,0,43318,6000,0
0,0,0,0,0,0,0,0,43568,6000,0
0,0,0,0,0,0,0,0,43818,6000,0
0,0,0,0,0,0,0,0,44069,6000,0
0,0,0,0,0,0,0,0,44319,6000,0
0,0,0,0,0,0,0,0,44570,6000,0
0,0,0,0,0,0,0,0,44820,6000,0
0,0,0,0,0,0,0,0,45070,6000,0
0,0,0,0,0,0,0,0,45321,6000,0
0,0,0,0,0,0,0,0,45571,6000,0
0,0,0,0,0,0,0,0,45822,6000,0
0,0,0,0,0,0,0,0,46072,6000,0
0,0,0,0,0,0,0,0,46322,6000,0
0,0,0,0,0,0,0,0,46573,6000,0
0,0,0,0,0,0,0,0,46823,6000,0
0,0,0,0,0,0,0,0,47074,6000,0
0,0,0,0,0,0,0,0,47324,6000,0
0,0,0,0,0,0,0,0,47574,6000,0
0,0,0,0,0,0,0,0,47825,6000,0
0,0,0,0,0,0,0,0,48075,6000,0
0,0,0,0,0,0,0,0,48326,6000,0
0,0,0,0,0,0,0,0,48576,6000,0
0,0,0,0,0,0,0,0,48826,6000,0
0,0,0,0,0,0,0,0,49077,6000,0
0,0,0,0,0,0,0,0,49327,6000,0
0,0,0,0,0,0,0,0,49577,6000,0
0,0,0,0,0,0,0,0,49828,6000,0
0,0,0,0,0,0,0,0,50078,6000,0
0,0,0,0,0,0,0,0,50329,6000,0
0,0,0,0,0,0,0,0,50579,6000,0
0,0,0,0,0,0,0,0,50829,6000,0
0,0,0,0,0,0,0,0,51080,6000,0
0,0,0,0,0,0,0,0,51330,6000,0
0,0,0,0,0,0,0,0,51581,6000,0
0,0,0,0,0,0,0,0,51831,6000,0
0,0,0,0,0,0,0,0,52081,6000,0
0,0,0,0,0,0,0,0,52332,6000,0
0,0,0,0,0,0,0,0,52582,6000,0
0,0,0,0,0,0,0,0,52833,6000,0
0,0,0,0,0,0,0,0,53083,6000,0
0,0,0,0,0,0,0,0,53333,6000,0
